title,Average,HateSpeech,Offensive,Pure,HateSpeechnum,Offensivenum,Purenum,full_title,synopsis,tomatometerscore,audiencescore,genre,director,writer,theater_date,dvd/streaming_date,box_office,runtime,Distributor,Collection
star_wars_the_last_jedi,1.6,0.0,2.5,1.4411764705882353,0.0,3.0,17.0,Star Wars: The Last Jedi,"Luke Skywalker's peaceful and solitary existence gets upended when he encounters Rey, a young woman who shows strong signs of the Force. Her desire to learn the ways of the Jedi forces Luke to make a decision that changes their lives forever. Meanwhile, Kylo Ren and General Hux lead the First Order in an all-out assault against Leia and the Resistance for supremacy of the galaxy.",91,42,Sci-fi|Adventure|Action|Fantasy,RianJohnson,RianJohnson,"Dec15,2017","Mar27,2018",$620.2M,2h32m,WaltDisney,StarWarsSaga
captain_marvel,2.625,0.0,2.7,2.6,0.0,5.0,15.0,Captain Marvel,"Captain Marvel is an extraterrestrial Kree warrior who finds herself caught in the middle of an intergalactic battle between her people and the Skrulls. Living on Earth in 1995, she keeps having recurring memories of another life as U.S. Air Force pilot Carol Danvers. With help from Nick Fury, Captain Marvel tries to uncover the secrets of her past while harnessing her special superpowers to end the war with the evil Skrulls.",79,45,Action|Adventure|Sci-fi|Fantasy,AnnaBoden|RyanFleck,AnnaBoden|RyanFleck|GenevaRobertson-Dworet|JacSchaeffer,"Mar8,2019","May28,2019",$426.8M,2h4m,WaltDisney,MarvelCinematicUniverse
suffragette,3.4,0.0,3.5833333333333335,3.3214285714285716,0.0,6.0,14.0,Suffragette,"In early 20th-century Britain, the growing suffragette movement forever changes the life of working wife and mother Maud Watts (Carey Mulligan). Galvanized by political activist Emmeline Pankhurst (Meryl Streep), Watts joins a diverse group of women who fight for equality and the right to vote. Faced with increasing police action, Maud and her dedicated suffragettes must play a dangerous game of cat-and-mouse, risking their jobs, homes, family and lives for a just cause.",73,68,Biography|History|Drama,SarahGavron,AbiMorgan,"Nov13,2015","Feb2,2016",$4.7M,1h46m,FocusFeatures,
the_danish_girl_2015,3.525,0.0,3.9,3.4,0.0,5.0,15.0,The Danish Girl,"With support from his loving wife Gerda (Alicia Vikander), artist Einar Wegener (Eddie Redmayne) prepares to undergo one of the first sex-change operations.",66,72,Biography|History|Drama|Lgbtq+,TomHooper,LucindaCoxon,"Dec25,2015","Mar1,2016",$11.1M,2h0m,FocusFeatures,
terminator_dark_fate,3.2,0.0,3.125,3.21875,0.0,4.0,16.0,Terminator: Dark Fate,"In Mexico City, a newly modified liquid Terminator -- the Rev-9 model -- arrives from the future to kill a young factory worker named Dani Ramos. Also sent back in time is Grace, a hybrid cyborg human who must protect Ramos from the seemingly indestructible robotic assassin. But the two women soon find some much-needed help from a pair of unexpected allies -- seasoned warrior Sarah Connor and the T-800 Terminator.",70,82,Sci-fi|Action,TimMiller,DavidS.Goyer|JustinRhodes|BillyRay,"Nov1,2019","Nov1,2019",$62.2M,2h8m,ParamountPictures,Terminator
1000013_12_angry_men,4.875,0.0,4.833333333333333,4.882352941176471,0.0,3.0,17.0,12 Angry Men,"Following the closing arguments in a murder trial, the 12 members of the jury must deliberate, with a guilty verdict meaning death for the accused, an inner-city teen. As the dozen men try to reach a unanimous decision while sequestered in a room, one juror (Henry Fonda) casts considerable doubt on elements of the case. Personal issues soon rise to the surface, and conflict threatens to derail the delicate process that will decide one boy's fate.",100,97,Drama,SidneyLumet,ReginaldRose,"Apr20,1957","Mar4,2008",,1h35m,CriterionCollection|MGM/UAHomeEntertainmentInc.|UnitedArtists|Metro-Goldwyn-Mayer,
2001_a_space_odyssey,4.275,0.0,2.5,4.368421052631579,0.0,1.0,19.0,2001: A Space Odyssey,"An imposing black structure provides a connection between the past and the future in this enigmatic adaptation of a short story by revered sci-fi author Arthur C. Clarke. When Dr. Dave Bowman (Keir Dullea) and other astronauts are sent on a mysterious mission, their ship's computer system, HAL, begins to display increasingly strange behavior, leading up to a tense showdown between man and machine that results in a mind-bending trek through space and time.",92,89,Sci-fi,StanleyKubrick,ArthurC.Clarke|StanleyKubrick,"Apr2,1968","Oct23,2007",$1.3M,2h19m,Metro-Goldwyn-Mayer|CriterionCollection|WarnerHomeVídeo|WarnerBros.,
400_blows,4.2,0.0,4.3,4.166666666666667,0.0,5.0,15.0,The 400 Blows,"For young Parisian boy Antoine Doinel (Jean-Pierre Léaud), life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents (Claire Maurier, Albert Remy), Antoine spends his days with his best friend, Rene (Patrick Auffray), trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",99,94,Crime|Drama,FrançoisTruffaut,FrançoisTruffaut|FrançoisTruffaut|MarcelMoussy,"Nov16,1959","May9,2006",,1h33m,CriterionCollection,
adventures_of_priscilla_queen_of_the_desert,4.025,0.0,4.333333333333333,3.9705882352941178,0.0,3.0,17.0,"The Adventures of Priscilla, Queen of the Desert","When drag queen Anthony (Hugo Weaving) agrees to take his act on the road, he invites fellow cross-dresser Adam (Guy Pearce) and transsexual Bernadette (Terence Stamp) to come along. In their colorful bus, named Priscilla, the three performers travel across the Australian desert performing for enthusiastic crowds and homophobic locals. But when the other two performers learn the truth about why Anthony took the job, it threatens their act and their friendship.",94,88,Comedy|Lgbtq+,StephanElliott,StephanElliott,"Aug10,1994","Mar28,2000",$10.1M,1h42m,Metro-Goldwyn-MayerDistributingCorp.|RoadshowHomeVideo[au],
aguirre_the_wrath_of_god,4.1,0.0,4.5,4.029411764705882,0.0,3.0,17.0,Aguirre: The Wrath of God,"Don Lope de Aguirre (Klaus Kinski), a ruthless Spanish conquistador, vies for power while part of an expedition in Peru to find El Dorado, the mythical seven cities of gold. Accompanied by his daughter, Flores (Cecilia Rivera), Aguirre faces off against his superior, Don Pedro de Ursua (Ruy Guerra), and grows increasingly volatile after seizing control of the group. As Aguirre presses deeper into the Amazonian jungle, he descends further into madness.",96,91,Adventure,WernerHerzog,WernerHerzog,"Apr3,1972","Oct31,2000",,1h34m,NewYorkerFilms,
